SnapshotInvID,ProductID,ProductName,WarehouseLocation,unitsAvailable,unitsDemanded,SnapshotDate
1,9,"Hodges, Stanley and Sanchez Air Conditioner","Kolkata, West Bengal",65.0,204.0,2024-07-01
2,52,Simmons Ltd Table Lamp,"Cuttack, Odisha",0.0,189.0,2023-01-01
3,98,Whitney-Garcia Microwave,"Noida, Uttar Pradesh",63.0,364.0,2023-01-01
4,25,Gordon and Sons Lipstick,"Delhi, Delhi",0.0,82.0,2024-09-01
5,29,Briggs Ltd Wall Clock,"Chennai, Tamil Nadu",0.0,264.0,2024-03-01
6,67,Hill PLC Air Conditioner,"Amritsar, Punjab",2350.0,461.0,2023-08-01
7,27,Gay-Clarke Moisturizer,"Jaipur, Rajasthan",10.0,300.0,2023-01-01
8,80,Ortiz-Garcia Laptop,"Chennai, Tamil Nadu",151.0,388.0,2024-09-01
9,13,Christensen-Patrick Foundation,"Hyderabad, Telangana",86.0,199.0,2024-06-01
10,97,"Porter, Harper and Gomez Tablet","Noida, Uttar Pradesh",161.0,429.0,2022-01-01
11,45,Miller Ltd Lipstick,"Kolkata, West Bengal",223.0,442.0,2023-10-01
12,53,Rogers Inc Smartphone,"Pune, Maharashtra",0.0,171.0,2024-05-01
13,48,Suarez-French Refrigerator,"Chennai, Tamil Nadu",15.0,373.0,2024-03-01
14,32,Alvarado LLC Yoga Mat,"Vadodara, Gujarat",65.0,431.0,2022-01-01
15,5,Woods-Rasmussen Smartwatch,"Srinagar, J&K",193.0,415.0,2023-08-01
16,62,"Wang, Griffin and Cook Foundation","Mangalore, Karnataka",56.0,454.0,2023-01-01
17,18,Hughes and Sons Foundation,"Hyderabad, Telangana",39.0,383.0,2022-09-01
18,8,Bennett Ltd Microwave,"Pune, Maharashtra",0.0,179.0,2024-08-01
19,93,Walker-Choi Protein Powder,"Kolkata, West Bengal",0.0,407.0,2022-01-01
20,84,Hansen Inc Face Mask,"Pune, Maharashtra",0.0,362.0,2024-02-01
21,7,"Jones, Jackson and Rich Marker","Dehradun, Uttarakhand",22.0,259.0,2023-08-01
22,60,Johnson-Banks Vitamins,"Dehradun, Uttarakhand",0.0,248.0,2023-07-01
23,20,Lewis Ltd Washing Machine,"Jaipur, Rajasthan",0.0,51.0,2022-10-01
24,100,Wright-Howard Microwave,"Patna, Bihar",30.0,210.0,2024-01-01
25,77,"Simpson, Davis and Garcia Camera","Delhi, Delhi",63.0,242.0,2024-04-01
26,28,Hernandez-Patel Wall Clock,"Kanpur, Uttar Pradesh",29.0,299.0,2023-07-01
27,78,Hill-Osborne Face Mask,"Jaipur, Rajasthan",125.0,231.0,2022-02-01
28,77,"Simpson, Davis and Garcia Camera","Bhubaneswar, Odisha",0.0,222.0,2022-11-01
29,20,Lewis Ltd Washing Machine,"Bhopal, Madhya Pradesh",0.0,234.0,2022-11-01
