InvID,ProductID,ProductName,WarehouseLocation,Availability,Demand,OrderDate
1,68,Goodman-Jones Cushion,"Madurai, Tamil Nadu",154.0,304.0,2023-08-28
2,35,Crawford-Mccarthy Perfume,"Mysuru, Karnataka",0.0,85.0,2023-03-13
3,20,Juarez LLC Marker,"Indore, Madhya Pradesh",0.0,254.0,2023-06-27
4,44,Lee-Middleton Lipstick,"Noida, Uttar Pradesh",0.0,197.0,2023-04-10
5,64,Browning-Burgess Vase,"Mysuru, Karnataka",0.0,211.0,2024-01-23
6,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",62.0,392.0,2024-04-29
7,73,Hunt Ltd Smartphone,"Gurugram, Haryana",0.0,239.0,2022-04-26
8,27,Hopkins-Cannon Foundation,"Jaipur, Rajasthan",0.0,133.0,2023-03-27
9,12,Carpenter-Brown Lipstick,"Lucknow, Uttar Pradesh",303.0,317.0,2022-07-20
10,67,"Pace, Perez and White Perfume","Vadodara, Gujarat",0.0,63.0,2022-09-17
11,94,"Burns, Durham and Rose Notebook","Amritsar, Punjab",0.0,266.0,2023-07-24
12,3,Reed Ltd Marker,"Bhopal, Madhya Pradesh",0.0,421.0,2024-01-07
13,78,Hernandez-Campos Cushion,"Pune, Maharashtra",0.0,140.0,2022-02-02
14,92,Herman Inc Smartwatch,"Noida, Uttar Pradesh",,229.0,2022-12-08
15,82,Harris-Wilson Vacuum Cleaner,"Shimla, Himachal Pradesh",78.0,462.0,2023-05-03
16,84,Miller Group Smartphone,"Hyderabad, Telangana",65.0,301.0,2022-11-03
17,90,Johnson Ltd Washing Machine,"Kanpur, Uttar Pradesh",98.0,118.0,2023-04-20
18,34,Wilson PLC Lipstick,"Raipur, Chhattisgarh",0.0,242.0,2023-09-10
19,63,"Cole, Wise and Jackson Smartwatch","Kolkata, West Bengal",0.0,90.0,2024-01-01
20,76,Flores Group Headphones,"Bhopal, Madhya Pradesh",0.0,252.0,2023-08-29
21,78,Hernandez-Campos Cushion,"Pune, Maharashtra",0.0,51.0,2023-06-12
22,96,Wilson and Sons Vacuum Cleaner,"Bhopal, Madhya Pradesh",0.0,350.0,2023-10-31
23,35,Crawford-Mccarthy Perfume,"Mysuru, Karnataka",57.0,480.0,2024-08-26
24,32,"Rogers, Oconnor and Singleton Microwave","Kanpur, Uttar Pradesh",0.0,169.0,2022-09-02
25,62,Vasquez-Bowers Laptop,"Lucknow, Uttar Pradesh",0.0,148.0,2023-08-11
26,90,Johnson Ltd Washing Machine,"Kanpur, Uttar Pradesh",419.0,466.0,2024-04-23
27,42,Brewer-Fowler Lipstick,"Guwahati, Assam",461.0,464.0,2023-07-24
